,iter,q,qMC
97,97000,70.22079467773438,70.22079467773438
98,98000,72.0161361694336,72.0161361694336
99,99000,70.42352294921875,70.42352294921875
100,100000,68.12818908691406,68.12818908691406
101,101000,70.29254150390625,70.29254150390625
102,102000,68.83240509033203,68.83240509033203
103,103000,72.41044616699219,72.41044616699219
104,104000,70.17218017578125,70.17218017578125
105,105000,71.15327453613281,71.15327453613281
106,106000,70.09724426269531,70.09724426269531
107,107000,70.43327331542969,70.43327331542969
108,108000,71.57968139648438,71.57968139648438
109,109000,70.08335876464844,70.08335876464844
110,110000,71.10798645019531,71.10798645019531
111,111000,70.37574005126953,70.37574005126953
112,112000,69.03028106689453,69.03028106689453
113,113000,70.87752532958984,70.87752532958984
114,114000,69.37946319580078,69.37946319580078
115,115000,70.84771728515625,70.84771728515625
116,116000,70.84877014160156,70.84877014160156
117,117000,69.69590759277344,69.69590759277344
118,118000,69.77313232421875,69.77313232421875
119,119000,68.8803939819336,68.8803939819336
120,120000,70.22860717773438,70.22860717773438
121,121000,68.58756256103516,68.58756256103516
122,122000,69.09638214111328,69.09638214111328
123,123000,68.09075164794922,68.09075164794922
124,124000,69.77977752685547,69.77977752685547
125,125000,68.0894546508789,68.0894546508789
126,126000,66.62346649169922,66.62346649169922
127,127000,67.9535140991211,67.9535140991211
128,128000,67.0862808227539,67.0862808227539
129,129000,68.8382339477539,68.8382339477539
130,130000,69.7531509399414,69.7531509399414
131,131000,66.97374725341797,66.97374725341797
132,132000,67.5599594116211,67.5599594116211
133,133000,66.30136108398438,66.30136108398438
134,134000,66.42801666259766,66.42801666259766
135,135000,66.08953857421875,66.08953857421875
136,136000,68.01927947998047,68.01927947998047
137,137000,68.17547607421875,68.17547607421875
138,138000,65.6597671508789,65.6597671508789
139,139000,65.60498809814453,65.60498809814453
140,140000,68.61365509033203,68.61365509033203
141,141000,68.1990737915039,68.1990737915039
142,142000,68.66035461425781,68.66035461425781
143,143000,66.4573974609375,66.4573974609375
144,144000,67.9682846069336,67.9682846069336
145,145000,66.23904418945312,66.23904418945312
146,146000,67.48855590820312,67.48855590820312
147,147000,67.97183227539062,67.97183227539062
148,148000,69.01160430908203,69.01160430908203
149,149000,68.46422576904297,68.46422576904297
